Date,Open,High,Low,Close,Adj Close,Volume
2014-04-13,null,null,null,null,null,null
2014-04-20,5.450000,5.450000,5.300000,5.310000,4.043252,770972696
2014-04-27,5.320000,5.400000,5.300000,5.320000,4.050866,776333358
2014-05-04,5.320000,5.380000,5.250000,5.300000,4.035637,829562418
2014-05-11,5.300000,5.540000,5.270000,5.510000,4.195539,1096992900
2014-05-18,5.540000,5.650000,5.430000,5.620000,4.279298,1154099389
2014-05-25,5.640000,5.730000,5.580000,5.690000,4.332599,1186326495
2014-06-01,5.690000,5.800000,5.680000,5.690000,4.332599,932677990
2014-06-08,5.710000,5.880000,5.700000,5.870000,4.469658,1140485348
2014-06-15,5.850000,5.880000,5.750000,5.850000,4.454430,1122753633
2014-06-22,5.810000,5.880000,5.710000,5.830000,4.439200,990413280
2014-06-29,5.830000,5.870000,5.520000,5.640000,4.294528,905358903
2014-07-06,5.630000,5.690000,5.510000,5.560000,4.525437,803239263
2014-07-13,5.580000,5.640000,5.510000,5.580000,4.541716,668015737
2014-07-20,5.620000,5.840000,5.550000,5.820000,4.737059,1086568642
2014-07-27,5.830000,6.000000,5.830000,5.920000,4.818451,1306412908
2014-08-03,5.990000,5.990000,5.730000,5.780000,4.704502,770885365
2014-08-10,5.870000,5.970000,5.810000,5.910000,4.810312,825896109
2014-08-17,5.910000,5.930000,5.800000,5.890000,4.794034,721831933
2014-08-24,5.850000,5.940000,5.720000,5.760000,4.688223,817551690
2014-08-31,5.740000,5.980000,5.630000,5.950000,4.842869,1446966624
2014-09-07,5.990000,5.990000,5.730000,5.780000,4.704502,708669420
2014-09-14,5.700000,5.830000,5.690000,5.710000,4.647527,986346005
2014-09-21,5.670000,5.760000,5.560000,5.630000,4.582412,963973734
2014-09-28,5.570000,5.600000,5.340000,5.460000,4.444045,970505922
2014-10-05,5.460000,5.600000,5.420000,5.490000,4.468462,1002095274
2014-10-12,5.450000,5.600000,5.430000,5.510000,4.484741,943926815
2014-10-19,5.550000,5.640000,5.500000,5.590000,4.549856,829010536
2014-10-26,5.610000,5.800000,5.530000,5.780000,4.704502,1326816020
2014-11-02,5.800000,5.810000,5.630000,5.650000,4.598691,927737486
2014-11-09,5.770000,5.800000,5.690000,5.780000,4.704502,960188997
2014-11-16,5.790000,5.800000,5.550000,5.600000,4.557994,836334812
2014-11-23,5.710000,5.920000,5.660000,5.880000,4.785894,1640560991
2014-11-30,5.810000,6.270000,5.710000,6.170000,5.021934,3086324154
2014-12-07,6.250000,6.420000,5.960000,6.000000,4.883566,2883370258
2014-12-14,5.930000,6.180000,5.910000,6.120000,4.981237,1784546007
2014-12-21,6.150000,6.370000,6.130000,6.170000,5.021934,974804527
2014-12-28,6.360000,6.500000,6.250000,6.500000,5.290530,1485100899
2015-01-04,6.480000,6.620000,6.370000,6.450000,5.249834,1761052920
2015-01-11,6.460000,6.500000,6.310000,6.380000,5.192859,1148726256
2015-01-18,6.320000,6.530000,6.060000,6.490000,5.282390,1616993267
2015-01-25,6.500000,6.500000,6.200000,6.230000,5.070769,1268088132
2015-02-01,6.200000,6.500000,6.130000,6.310000,5.135883,1361286697
2015-02-08,6.260000,6.420000,6.210000,6.410000,5.217276,897620499
2015-02-15,6.420000,6.460000,6.390000,6.440000,5.241693,389116941
2015-02-22,6.420000,6.510000,6.370000,6.450000,5.249834,1064206557
2015-03-01,6.530000,6.530000,6.160000,6.190000,5.038212,1347615867
2015-03-08,6.150000,6.390000,6.120000,6.330000,5.152162,1340348478
2015-03-15,6.350000,6.500000,6.310000,6.480000,5.274251,1023224619
2015-03-22,6.480000,6.500000,6.310000,6.310000,5.135883,962938142
2015-03-29,6.450000,6.570000,6.400000,6.560000,5.339365,1462948836
2015-04-05,6.560000,7.190000,6.560000,7.100000,5.778886,2216076461
2015-04-12,7.110000,7.930000,7.110000,7.610000,6.193990,3785882305
2015-04-19,7.800000,7.850000,7.360000,7.610000,6.193990,2701322964
2015-04-26,7.610000,7.850000,7.530000,7.550000,6.145154,1773603524
2015-05-03,7.600000,7.700000,7.250000,7.380000,6.006786,1809570711
2015-05-10,7.450000,7.490000,7.260000,7.440000,6.055622,1492279512
2015-05-17,7.500000,7.720000,7.300000,7.720000,6.283521,1380168519
2015-05-24,7.720000,7.980000,7.480000,7.790000,6.340496,2287611373
2015-05-31,7.720000,7.980000,7.620000,7.790000,6.340496,2274185207
2015-06-07,7.760000,7.920000,7.570000,7.760000,6.316079,1806234815
2015-06-14,7.680000,7.690000,7.370000,7.540000,6.137014,2261268555
2015-06-21,7.550000,7.660000,7.020000,7.090000,5.770747,1971576722
2015-06-28,7.120000,7.150000,6.780000,7.050000,6.039801,1743172382
2015-07-05,7.100000,7.160000,6.100000,6.520000,5.585744,3238925664
2015-07-12,6.500000,6.640000,6.380000,6.540000,5.602879,1378015593
